year,month,power_kwh
113年,11310,30297831
113年,11311,28669246
113年,11312,25839154
113年,11401,29527412
113年,11402,26305447
113年,11403,35123287
113年,11404,36099783
113年,11405,39089588
113年,11406,38980815
113年,11407,29993879
113年,11408,37916831
113年,11409,37251423
112年,11201,28479997
112年,11202,24005362
112年,11203,33728036
112年,11204,34843390
112年,11205,38072728
112年,11206,38496823
112年,11207,39302654
112年,11208,34716625
112年,11209,34783254
112年,11210,31192575
112年,11211,31717655
112年,11212,24609511
111年,11101,28234521
111年,11102,24551587
111年,11103,27575937
111年,11104,40647345
111年,11105,30447546
111年,11106,38109621
111年,11107,43914712
111年,11108,41841705
111年,11109,38108740
111年,11110,32335637
111年,11111,28455618
111年,11112,28464267
110年,11001,29894224
110年,11002,31584735
110年,11003,23503152
110年,11004,36755696
110年,11005,42307745
110年,11006,33375936
110年,11007,41941535
110年,11008,34747473
110年,11009,41766296
110年,11010,35165305
110年,11011,29657349
110年,11012,28137421
109年,10901,13699570
109年,10902,12613389
109年,10903,14619475
109年,10904,19078297
109年,10905,21924811
109年,10906,27184598
109年,10907,30612671
109年,10908,30606439
109年,10909,25749897
109年,10910,15002296
109年,10911,19177533
109年,10912,23973377
108年,10801,2118814
108年,10802,2269541
108年,10803,2280226
108年,10804,2648253
108年,10805,8650335
108年,10806,14936554
108年,10807,16256854
108年,10808,13049572
108年,10809,16757586
108年,10810,15145842
108年,10811,12312423
108年,10812,11561883
107年,10701,1553524
107年,10702,1410431
107年,10703,2321726
107年,10704,2196746
107年,10705,2624441
107年,10706,2169943
107年,10707,2235815
107年,10708,1796033
107年,10709,2188872
107年,10710,2190171
107年,10711,1928528
107年,10712,2162390
